NAME,MSINI,MASS,A,PER,PLANETDISCMETH
Kepler-1492 b,,0.0115494,0.117442,16.75255007,Transit
HATS-15 b,2.16007,2.16279,0.0271372,1.74748753,Transit
HD 28185 b,5.79721,5.79721,1.02341,379,RV
HIP 97233 b,19.8471,19.8471,2.5395,1058.8,RV
Kepler-1461 b,,0.0150076,0.17214,29.3494775,Transit
Kepler-846 b,,0.019398,0.140349,19.80792185,Transit
KELT-4 A b,0.871198,0.877536,0.0432172,2.9895933,Transit
HD 23127 b,1.40487,1.40487,2.31864,1214,RV
HD 154672 b,4.0077,4.0077,0.602232,163.967,RV
Kepler-275 d,,0.0333072,0.212092,35.676062,Transit
Kepler-52 b,,0.015593,0.0630945,7.8773565,Transit
Kepler-1561 b,,0.00392895,0.0200865,1.00520701,Transit
OGLE-TR-10 b,0.626643,0.62,0.0434856,3.10129,Transit
Kepler-370 b,,0.011856,0.0539702,4.57953,Transit
Kepler-601 b,,0.014034,0.0569124,5.37886844,Transit
gamma Leo A b,10.3722,10.3722,1.29554,428.5,RV
NN Ser c,2.24099,2.24099,6.15467,5571,Timing
Kepler-1179 b,,0.00774372,0.0356726,2.68505749,Transit
Kepler-930 b,,0.0158698,0.36301,71.4517775,Transit
KELT-14 b,1.25718,1.28386,0.0300684,1.7100566,Transit
Kepler-1073 b,,0.0174594,0.0826512,8.67888593,Transit
MASCARA-1 b,1.73291,1.73529,0.0390586,2.14878,Transit
HAT-P-2 b,8.85612,8.87066,0.0679088,5.6334729,Transit
HAT-P-24 b,0.685652,0.685857,0.0465021,3.35524,Transit
HD 11506 b,4.7347,4.7347,2.60488,1405,RV
Kepler-758 c,,0.0125233,0.0581708,4.75793986,Transit
K2-5 c,,0.0155133,0.0780146,10.93241,Transit
tau Boo b,4.13,5.95,0.0480039,3.312433,RV
Kepler-422 b,0.43015,1,0.0812822,7.8914483,Transit
Kepler-124 c,,0.0129124,0.112713,13.821375,Transit
HATS-16 b,,1,0.0374388,2.686502,Transit
Kepler-1081 b,,0.0030088,0.0461241,3.85691855,Transit
Kepler-1539 b,,0.0222358,0.481868,133.3036741,Transit
Kepler-1458 b,,0.0230257,0.254946,47.9872764,Transit
Kepler-184 c,,0.0145328,0.145651,20.303005,Transit
XO-2S c,1.371,1.371,0.47557,120.8,RV
HD 34445 b,0.790506,0.790506,2.06642,1049,RV
Kepler-318 b,,0.0733215,0.0546218,4.662715,Transit
OGLE-2007-BLG-368L b,,0.0629,,,Microlensing
K2-138 d,,0.0224237,0.0588328,5.40478,Transit
KELT-7 b,1.26419,1.28,0.0441609,2.7347749,Transit
Kepler-1321 c,,0.0185165,0.0271739,2.22649109,Transit
Kepler-1311 c,,0.00590412,0.036989,2.53573424,Transit
Kepler-1260 b,,0.0130579,0.142675,19.1187753,Transit
HD 125612 b,3.06805,3.06805,1.3728,559.40487,RV
Kepler-20 f,,0.00323095,0.137859,19.57706,Transit
Kepler-198 b,,0.0239491,0.13337,17.790037,Transit
42 Dra b,3.73203,3.73203,1.16693,479.1,RV
Kepler-808 b,,0.0107116,0.0131437,0.63133235,Transit
HIP 109600 b,2.68597,2.68597,0.706259,232.08,RV
Kepler-216 b,,0.0179955,0.0762713,7.693641,Transit
Kepler-292 d,,0.0167934,0.0719945,7.055679,Transit
Kepler-53 b,,0.0249941,0.136705,18.6489525,Transit
KELT-11 b,0.19872,0.199113,0.0626633,4.736525,Transit
Kepler-11 b,,0.00597804,0.0914497,10.3039,Transit
HD 153950 b,2.74209,2.74209,1.28031,499.4,RV
Kepler-69 b,,0.0168702,0.104565,13.722341,Transit
Kepler-27 c,,0.0793989,0.168484,31.3309,Transit
Kepler-1434 b,,0.00422224,0.0894052,8.05333618,Transit
HD 16141 b,0.249652,0.249652,0.355656,75.523,RV
Kepler-221 c,,0.0256819,0.0623799,5.690586,Transit
WASP-97 b,1.31694,1.32,0.0330527,2.07276,Transit
Kepler-7 b,0.436942,0.437758,0.0622369,4.885525,Transit
HIP 91258 b,1.068,1.068,0.0566534,5.0505,RV
Kepler-486 b,,0.7621,0.176071,30.36044667,Transit
WASP-24 b,1.08429,1.091,0.0365155,2.3412127,Transit
HAT-P-29 b,0.778006,0.779004,0.0666842,5.723186,Transit
Kepler-38 b,,0.0621296,0.429659,105.595,Transit
Kepler-546 b,,0.204677,0.0523044,4.14702026,Transit
HD 219134 b,0.0148322,0.0148877,0.0387273,3.092926,Transit
HD 204313 d,1.60642,1.60642,3.94498,2831.6,RV
PSR B1257+12 B,,0.0135305,0.321369,66.5419,Timing
Kepler-147 b,,0.0125754,0.10603,12.610584,Transit
HD 50554 b,4.39876,4.39876,2.26097,1224,RV
HD 11964 c,0.0770689,0.0770689,0.226601,37.910254,RV
Kepler-1044 b,,0.021778,0.0718867,6.77408868,Transit
Kepler-79 d,,0.0189,0.272969,52.09059,Transit
Kepler-344 c,,0.0260126,0.490824,125.596809,Transit
HD 13189 b,7.12332,7.12332,1.25186,471.6,RV
