week,status,age,deaths,pop,percent_of_age_group,mortality_rate_per_100k
2021-09-24,Unvaccinated,60-69,23.0,270362.0,5.1,8.5
2021-09-24,Unvaccinated,70-79,16.0,130806.0,3.0,12.2
2021-09-24,Unvaccinated,80+,28.0,69021.0,2.7,40.6
2021-01-08,Within 21 days of first dose,10-59,1.0,430437.0,1.6,
2021-01-08,Within 21 days of first dose,60-69,2.0,82971.0,1.6,
2021-01-08,Within 21 days of first dose,70-79,4.0,107498.0,2.5,3.7
2021-01-08,Within 21 days of first dose,80+,150.0,579912.0,23.0,25.9
2021-01-15,Within 21 days of first dose,10-59,6.0,770999.0,2.8,0.8
2021-01-15,Within 21 days of first dose,60-69,6.0,147299.0,2.8,4.1
2021-01-15,Within 21 days of first dose,70-79,29.0,321383.0,7.5,9.0
2021-01-15,Within 21 days of first dose,80+,269.0,872962.0,34.7,30.8
2021-01-22,Within 21 days of first dose,10-59,6.0,1170511.0,4.3,0.5
2021-01-22,Within 21 days of first dose,60-69,20.0,241624.0,4.6,8.3
2021-01-22,Within 21 days of first dose,70-79,74.0,899804.0,21.1,8.2
2021-01-22,Within 21 days of first dose,80+,500.0,1330140.0,52.9,37.6
2021-01-29,Within 21 days of first dose,10-59,10.0,1388898.0,5.1,0.7
2021-01-29,Within 21 days of first dose,60-69,25.0,360309.0,6.9,6.9
2021-01-29,Within 21 days of first dose,70-79,133.0,1802713.0,42.2,7.4
2021-01-29,Within 21 days of first dose,80+,827.0,1348067.0,53.7,61.3
2021-02-05,Within 21 days of first dose,10-59,9.0,1348972.0,4.9,0.7
2021-02-05,Within 21 days of first dose,60-69,12.0,571469.0,10.9,2.1
2021-02-05,Within 21 days of first dose,70-79,159.0,2690169.0,63.0,5.9
2021-02-05,Within 21 days of first dose,80+,618.0,893664.0,35.7,69.2
2021-02-12,Within 21 days of first dose,10-59,10.0,1316983.0,4.8,0.8
2021-02-12,Within 21 days of first dose,60-69,18.0,1268689.0,24.2,1.4
2021-02-12,Within 21 days of first dose,70-79,103.0,2822670.0,66.1,3.6
2021-02-12,Within 21 days of first dose,80+,311.0,389907.0,15.6,79.8
2021-02-19,Within 21 days of first dose,10-59,9.0,1585561.0,5.8,0.6
2021-02-19,Within 21 days of first dose,60-69,27.0,2155702.0,41.1,1.3
2021-02-19,Within 21 days of first dose,70-79,75.0,1969332.0,46.1,3.8
2021-02-19,Within 21 days of first dose,80+,105.0,170030.0,6.8,61.8
2021-02-26,Within 21 days of first dose,10-59,10.0,2233629.0,8.2,0.4
2021-02-26,Within 21 days of first dose,60-69,19.0,2538204.0,48.4,0.7
2021-02-26,Within 21 days of first dose,70-79,48.0,887014.0,20.8,5.4
2021-02-26,Within 21 days of first dose,80+,80.0,96741.0,3.9,82.7
2021-03-05,Within 21 days of first dose,10-59,7.0,2613968.0,9.6,0.3
2021-03-05,Within 21 days of first dose,60-69,26.0,2329460.0,44.4,1.1
2021-03-05,Within 21 days of first dose,70-79,19.0,170312.0,4.0,11.2
2021-03-05,Within 21 days of first dose,80+,42.0,48226.0,1.9,87.1
2021-03-12,Within 21 days of first dose,10-59,4.0,2699353.0,9.9,0.1
2021-03-12,Within 21 days of first dose,60-69,6.0,1755124.0,33.4,0.3
2021-03-12,Within 21 days of first dose,70-79,9.0,62680.0,1.5,14.4
2021-03-12,Within 21 days of first dose,80+,15.0,29405.0,1.2,51.0
2021-03-19,Within 21 days of first dose,10-59,0.0,3582118.0,13.1,
2021-03-19,Within 21 days of first dose,60-69,4.0,1408340.0,26.8,0.3
2021-03-19,Within 21 days of first dose,70-79,5.0,41036.0,1.0,12.2
2021-03-19,Within 21 days of first dose,80+,8.0,21049.0,0.8,38.0
2021-03-26,Within 21 days of first dose,10-59,1.0,4494848.0,16.5,
2021-03-26,Within 21 days of first dose,60-69,2.0,944869.0,18.0,
2021-03-26,Within 21 days of first dose,70-79,5.0,29578.0,0.7,16.9
2021-03-26,Within 21 days of first dose,80+,8.0,15904.0,0.6,50.3
2021-04-02,Within 21 days of first dose,10-59,2.0,4698057.0,17.2,
2021-04-02,Within 21 days of first dose,60-69,0.0,519786.0,9.9,
2021-04-02,Within 21 days of first dose,70-79,2.0,23408.0,0.5,
2021-04-02,Within 21 days of first dose,80+,4.0,13107.0,0.5,30.5
2021-04-09,Within 21 days of first dose,10-59,3.0,2988280.0,11.0,0.1
2021-04-09,Within 21 days of first dose,60-69,1.0,198564.0,3.8,
2021-04-09,Within 21 days of first dose,70-79,0.0,16610.0,0.4,
2021-04-09,Within 21 days of first dose,80+,4.0,9689.0,0.4,41.3
2021-04-16,Within 21 days of first dose,10-59,0.0,1574762.0,5.8,
2021-04-16,Within 21 days of first dose,60-69,0.0,72425.0,1.4,
2021-04-16,Within 21 days of first dose,70-79,2.0,11503.0,0.3,
2021-04-16,Within 21 days of first dose,80+,3.0,6942.0,0.3,43.2
2021-04-23,Within 21 days of first dose,10-59,1.0,1042913.0,3.8,
2021-04-23,Within 21 days of first dose,60-69,1.0,25199.0,0.5,
2021-04-23,Within 21 days of first dose,70-79,0.0,7412.0,0.2,
2021-04-23,Within 21 days of first dose,80+,1.0,4544.0,0.2,
2021-04-30,Within 21 days of first dose,10-59,0.0,1207366.0,4.4,
2021-04-30,Within 21 days of first dose,60-69,0.0,16755.0,0.3,
2021-04-30,Within 21 days of first dose,70-79,0.0,5904.0,0.1,
2021-04-30,Within 21 days of first dose,80+,0.0,3833.0,0.2,
2021-05-07,Within 21 days of first dose,10-59,0.0,1328118.0,4.9,
2021-05-07,Within 21 days of first dose,60-69,0.0,13149.0,0.2,
2021-05-07,Within 21 days of first dose,70-79,0.0,4798.0,0.1,
2021-05-07,Within 21 days of first dose,80+,0.0,3067.0,0.1,
2021-05-14,Within 21 days of first dose,10-59,1.0,1464666.0,5.4,
2021-05-14,Within 21 days of first dose,60-69,0.0,12922.0,0.2,
2021-05-14,Within 21 days of first dose,70-79,1.0,4427.0,0.1,
2021-05-14,Within 21 days of first dose,80+,0.0,2723.0,0.1,
2021-05-21,Within 21 days of first dose,10-59,0.0,1897818.0,7.0,
2021-05-21,Within 21 days of first dose,60-69,0.0,14749.0,0.3,
2021-05-21,Within 21 days of first dose,70-79,0.0,4605.0,0.1,
2021-05-21,Within 21 days of first dose,80+,0.0,2632.0,0.1,
2021-05-28,Within 21 days of first dose,10-59,0.0,2144129.0,7.9,
2021-05-28,Within 21 days of first dose,60-69,0.0,16027.0,0.3,
2021-05-28,Within 21 days of first dose,70-79,0.0,4785.0,0.1,
2021-05-28,Within 21 days of first dose,80+,1.0,2756.0,0.1,
2021-06-04,Within 21 days of first dose,10-59,0.0,2016381.0,7.4,
2021-06-04,Within 21 days of first dose,60-69,0.0,13905.0,0.3,
2021-06-04,Within 21 days of first dose,70-79,1.0,4175.0,0.1,
2021-06-04,Within 21 days of first dose,80+,0.0,2341.0,0.1,
2021-06-11,Within 21 days of first dose,10-59,0.0,1793294.0,6.6,
2021-06-11,Within 21 days of first dose,60-69,0.0,11158.0,0.2,
2021-06-11,Within 21 days of first dose,70-79,0.0,3571.0,0.1,
2021-06-11,Within 21 days of first dose,80+,1.0,2041.0,0.1,
2021-06-18,Within 21 days of first dose,10-59,0.0,1860886.0,6.9,
2021-06-18,Within 21 days of first dose,60-69,0.0,9240.0,0.2,
2021-06-18,Within 21 days of first dose,70-79,0.0,3238.0,0.1,
2021-06-18,Within 21 days of first dose,80+,0.0,1846.0,0.1,
2021-06-25,Within 21 days of first dose,10-59,0.0,2213723.0,8.2,
2021-06-25,Within 21 days of first dose,60-69,0.0,8940.0,0.2,
2021-06-25,Within 21 days of first dose,70-79,0.0,3232.0,0.1,
2021-06-25,Within 21 days of first dose,80+,0.0,1814.0,0.1,
2021-07-02,Within 21 days of first dose,10-59,0.0,2211453.0,8.2,
